,ade,fde,type
126,1.7455279279185283,3.5096628283793647,ml
127,1.9658084618373683,5.176622099064656,ml
128,,,ml
129,,,ml
130,,,ml
131,,,ml
132,1.1437584889705958,3.7908898804232884,ml
133,,,ml
134,,,ml
135,1.309783545991443,2.4902812599352555,ml
136,0.16633836432323226,0.29649768787657566,ml
137,3.0915576809106167,7.879862907476134,ml
138,2.3894718603172436,7.015366805382104,ml
139,,,ml
140,,,ml
141,,,ml
142,,,ml
143,1.3840241514043314,3.724763259589829,ml
144,,,ml
145,0.6259572443872476,1.5654836721971006,ml
146,1.9658084618373683,5.176622099064656,ml
147,,,ml
148,,,ml
149,,,ml
150,,,ml
151,,,ml
152,,,ml
153,0.7790234292505938,1.5665755544815343,ml
154,0.22023583733328908,0.4039410086787729,ml
155,,,ml
156,4.056262924550912,10.263029774496161,ml
157,,,ml
158,1.7742407594655643,4.610972540129422,ml
159,,,ml
160,0.2874960534684616,0.3884028208116674,ml
161,,,ml
162,,,ml
163,,,ml
164,2.067627791107045,5.306264917717583,ml
165,0.3970322622692757,1.7304124775589727,ml
166,0.6949989358855895,1.2753122727033208,ml
167,,,ml
168,1.8462329234588701,3.1165096682420264,ml
169,1.6104194429142862,3.35758406581368,ml
170,,,ml
171,,,ml
172,1.2731894066088358,3.1659656441904263,ml
173,0.2954882267728349,0.5904453042298723,ml
174,,,ml
175,,,ml
176,,,ml
177,0.7336930046658278,2.3190940521717556,ml
178,,,ml
179,,,ml
180,,,ml
181,,,ml
182,,,ml
183,,,ml
184,0.4003132713201544,0.8138211860633904,ml
185,,,ml
186,,,ml
187,1.6918509509729809,5.445445891118992,ml
188,1.4687808128944315,4.153269730267698,ml
189,0.4792757486420259,0.8029170235978018,ml
190,0.9798540883167113,2.5146447227513375,ml
191,,,ml
192,0.9007272278448626,2.4356598727736185,ml
193,,,ml
194,0.5844290690159647,1.0790191711105925,ml
195,,,ml
196,,,ml
197,1.2450745652092712,2.8712762159995666,ml
198,,,ml
199,,,ml
200,5.547136417517874,12.661003655789889,ml
201,1.5801461976674218,5.968212156041126,ml
202,,,ml
203,,,ml
204,0.7124747195571508,1.1377448845926823,ml
205,2.2912524502480918,6.078033423142757,ml
206,0.5982891191423338,1.8301884457211768,ml
207,0.9045514089596923,2.185211864849389,ml
208,,,ml
209,,,ml
210,,,ml
211,,,ml
212,,,ml
213,,,ml
214,,,ml
215,1.2175361841835426,2.3502112580425134,ml
216,,,ml
217,,,ml
218,,,ml
219,2.1883463630732085,7.056110867330719,ml
220,,,ml
221,,,ml
222,,,ml
223,,,ml
224,,,ml
225,,,ml
226,,,ml
227,1.1549111248915473,3.0944985879245337,ml
228,2.436191458383806,7.867110098687064,ml
229,,,ml
230,0.22537815231695302,0.3493064646610764,ml
231,0.3871281994863392,1.1833170111330904,ml
232,3.8277588921327763,8.216046174634037,ml
233,,,ml
234,,,ml
235,,,ml
236,0.2586888521512125,0.43893890999108276,ml
237,,,ml
238,,,ml
239,0.6017171238965311,1.263594158416536,ml
240,,,ml
241,,,ml
242,,,ml
243,0.7435318893656796,1.5230730350851613,ml
244,,,ml
245,,,ml
246,,,ml
247,1.6917267473009758,3.498165386001781,ml
248,,,ml
249,,,ml
250,0.5257773668389514,1.7185647256473853,ml
251,,,ml
252,,,ml
253,,,ml
254,,,ml
255,,,ml
256,,,ml
257,,,ml
258,,,ml
259,1.4687808128944315,4.153269730267698,ml
260,,,ml
261,0.9126087823103388,2.212219004876052,ml
262,,,ml
263,,,ml
264,,,ml
265,,,ml
266,,,ml
267,,,ml
268,,,ml
269,,,ml
270,0.37827705501796643,0.8131453608509861,ml
271,0.7336930046658278,2.3190940521717556,ml
272,,,ml
273,0.5447262240212903,1.1687298807772943,ml
274,0.4210066462862861,0.5414379855051714,ml
275,1.4975557112409206,4.314347160173663,ml
276,,,ml
277,0.9744998464598026,2.0366228212061697,ml
278,1.4857989529514677,2.883992760090811,ml
279,,,ml
280,,,ml
281,2.3888400446331137,5.820080013114649,ml
282,,,ml
283,,,ml
284,,,ml
285,0.9045514089596923,2.185211864849389,ml
286,,,ml
287,,,ml
288,,,ml
289,,,ml
290,0.7124747195571508,1.1377448845926823,ml
291,0.7435318893656796,1.5230730350851613,ml
292,,,ml
293,,,ml
294,,,ml
295,,,ml
296,,,ml
297,1.4803684008388043,3.024262811569996,ml
298,,,ml
299,,,ml
300,,,ml
301,,,ml
302,,,ml
303,0.7205742997452093,1.1625937339736665,ml
304,,,ml
305,,,ml
306,,,ml
307,,,ml
308,,,ml
309,4.0662909498870095,12.660680546321787,ml
310,,,ml
311,1.7689269142185653,4.516786072784855,ml
312,,,ml
313,0.19911624549190363,0.2712204909411864,ml
314,,,ml
315,7.705330708193229,15.68755878987191,ml
316,0.2660160164631847,0.49038199201159505,ml
317,0.35559206331849774,0.6282144294214068,ml
318,4.862384973072442,10.988962659890356,ml
319,0.2762402193753654,0.7411875163824586,ml
320,,,ml
321,0.27821832011043174,0.37540907056332834,ml
322,2.2872445335774807,5.848942303165405,ml
323,,,ml
324,,,ml
325,2.115137666481209,5.76659452155322,ml
326,9.534367387078296,18.135392735599215,ml
327,0.5540584297521152,1.0662464145215071,ml
328,,,ml
329,,,ml
330,,,ml
331,,,ml
332,,,ml
333,,,ml
334,2.3182703717286355,5.306883647225053,ml
335,2.9737671705252064,7.886286020880258,ml
336,,,ml
337,1.1246332956478675,3.2889551308645437,ml
338,1.1551151670011508,2.665938233735596,ml
339,0.4322172263299584,0.6622887683597047,ml
340,,,ml
341,,,ml
342,6.638454033453566,13.192175337608214,ml
343,0.15550332086821206,0.21797926180459098,ml
344,,,ml
345,,,ml
346,,,ml
347,,,ml
348,5.878274585904243,12.669180919215385,ml
349,,,ml
350,0.11440256933207307,0.13805241331555682,ml
351,,,ml
352,,,ml
353,0.2774219722845492,0.4848030080088151,ml
354,7.219397767406354,19.604261163743082,ml
355,0.28356560253718405,0.47833053268751385,ml
356,1.2867159133850492,3.035864759846692,ml
357,,,ml
358,4.177541574127815,5.0733532138653255,ml
359,1.206091352537565,2.8645178959826167,ml
360,,,ml
361,0.2456480094927365,0.3856229661846902,ml
362,,,ml
363,11.526288525506004,24.01386286971743,ml
364,,,ml
365,,,ml
366,,,ml
367,,,ml
368,8.314790774405344,18.650531053639593,ml
369,0.8846887782051193,1.7804324796882118,ml
370,,,ml
371,,,ml
372,,,ml
373,0.6439438322616852,1.1648782090208758,ml
374,,,ml
375,0.21702261869333875,0.3187514477909596,ml
376,5.608555741262997,10.18543287178272,ml
377,0.9827771209872405,2.1866569834208085,ml
378,2.948438891885203,8.07336312493452,ml
379,0.6343854473136932,1.3256065492901143,ml
